,0,1,2,3,4,5
512025024,512025020,28818078,512025044,,,
28818078,512025024,507399241,429873151,,,
512025044,512025024,512025020,507399308,,,
279198004,565592116,3423498807,,,,
565592116,279198004,565592114,565592115,,,
28818057,1971332860,2101612898,,,,
1971332860,28818057,28818074,1971332859,,,
506458004,2101612913,506457983,28818050,,,
2101612913,506458004,28818053,2101612910,,,
469479982,28818094,583820879,28818092,,,
28818094,469479982,469479980,506886004,,,
1094367918,256219064,409717376,,,,
256219064,1094367918,513620773,,,,
409717376,512438968,1094367918,583820814,468770153,,
512438968,409717376,1094367907,,,,
2984069360,513626094,492750201,,,,
513626094,2984069360,1121917614,2978833895,513626112,,
1121917614,513626094,282539345,,,,
2977879960,3964585808,512544049,,,,
3964585808,2977879960,512545527,,,,
512546980,512546981,1184791867,512544089,,,
512546981,512546980,565592112,529005150,,,
513620773,513620774,256219064,583846977,518433855,,
513620774,513620773,513620780,,,,
28814435,2978833895,906942866,518820587,,,
2978833895,28814435,513626094,,,,
513626112,514707754,513626094,2977879957,513688413,,
514707754,513626112,2984069363,,,,
279008275,279008271,538384740,279197944,1037000313,,
279008271,279008275,1576810403,279197944,,,
266711175,540240744,266711173,3018137504,,,
540240744,266711175,691739640,540308923,1156375722,,
514356255,569659203,2010722458,,,,
569659203,514356255,569659130,,,,
961477200,514348979,961477126,,,,
514348979,961477200,2010722458,,,,
514359994,514360039,569659130,664616197,,,
514360039,514359994,747813021,,,,
1588267540,472469540,1588267539,1588267545,,,
472469540,1588267540,1588267545,472469543,,,
1588267554,28814200,2730974375,1588267545,,,
1588267543,28814193,1588267546,1588267539,,,
28814193,1588267543,1588267539,1126063809,,,
1588267539,28814193,1588267543,1588267540,,,
28818020,1588267546,2994632762,2730758114,,,
1588267546,28818020,2730758114,1588267543,,,
2994632762,28818020,674920177,,,,
2730758114,28818020,1588267546,1588267555,,,
2998260573,28814200,2998260574,,,,
1588267545,472469540,1588267540,1588267554,,,
514755981,514755980,2977861427,282539339,28814446,,
514755980,514755981,513628938,282539345,,,
537994445,1975821880,517329360,515628390,,,
